id;label;latitude;longitude
74473070;"Name: Gutenberg Center - Eingang A; Station Number: 42629";4996694000;823003400
74473071;"Name: BÅrgerhaus Finthen; Station Number: 42660";4998515100;817829200
74473073;"Name: BÅrgerhaus Hechtsheim; Station Number: 42630";4995766000;827532600
74473074;"Name: ZDF / Sendezentrum 2; Station Number: 42661";4996165500;821428100
74473075;"Name: ZDF / Sendezentrum 1; Station Number: 42631";4996228100;820716100
74473076;"Name: Impfzentrum / An der Bruchspitze; Station Number: 42662";5000508100;823059300
74473077;"Name: MÅnsterplatz; Station Number: 42632";4999994500;826375100
86323060;"Name: Neckarstra·e II; Station Number: 42756";4996427800;835136100
87678098;"Name: Marienhaus Klinikum Mainz; Station Number: 42663";4998862000;826988000
87678230;"Name: Zitadelle; Station Number: 42664";4999331300;827335100
93476664;"Name: Am Lindequartier - wÑhrend MainbrÅckensperrung; Station Number: 42757";5000243200;829686400
99038375;"Name: Reisinger Weg / UniversitÑtsmedizin; Station Number: 42758";4999388900;825551000
99038856;"Name: Helmholtzweg / UniversitÑtsmedizin; Station Number: 42759";4999201700;825929500
99039004;"Name: Sirius GutenbergPark; Station Number: 42761";4995663048;825529418
99040633;"Name: UniversitÑtsmedizin Haupteingang; Station Number: 42760";4999325600;825936600
107182231;"Name: MEWA ARENA; Station Number: 42762";4998609000;822517000
162218613;"Name: Alte Mainzer Str. - NUR fÅr Lastenrad, KEINE klassischen RÑder!; Station Number: 42763";4996144400;828069400
165353979;"Name: Fischtorplatz; Station Number: 42764";4999989400;827646700
165354102;"Name: Am Rîmerlager; Station Number: 42765";4999390100;826047600
165354509;"Name: Auenstra·e / Ingelheimer Aue; Station Number: 42767";5002490200;823847900
165355001;"Name: Isaac-Fulda-Alle; Station Number: 42770";4999402200;822233100
165355230;"Name: Jakob-Heinz-Str. / CampusbrÅcke; Station Number: 42771";4998980600;822691700
209228533;"Name: Ernst-Reuter-Stra·e; Station Number: 42772";4996272600;831888700
209609180;"Name: An der Goldgrube; Station Number: 42768";4998773800;827197200
209609612;"Name: Elly-Beinhorn-Stra·e; Station Number: 42769";4997805300;827628700
223607831;"Name: Haltestelle DarmstÑdter Stra·e; Station Number: 42778";4998379400;835950700
223608340;"Name: Bischofsheim Bahnhof (Bahnhofsplatz & An der Bahn); Station Number: 42776";4999244900;835795800
223610983;"Name: Rîmerstra·e / Klinikerteich; Station Number: 42783";4998794300;835009100
223612523;"Name: Haltestelle Rheinstra·e; Station Number: 42779";4998823000;835561000
223615658;"Name: Haltestelle Am Mainweg; Station Number: 42780";4999128000;835152000
223616276;"Name: Haltestelle An den SportstÑtten; Station Number: 42781";4997726000;834720000
223616641;"Name: Bîcklersiedlung / Ulmenstra·e; Station Number: 42782";4999447000;836118000
223622524;"Name: BÅrgerhaus Bischofsheim; Station Number: 42784";4998476800;836268500
223656761;"Name: Green Fit / Green Deli; Station Number: 42785";4997437300;823711000
224375031;"Name: Bahnhof Kastel - DB Mobility Hub 1; Station Number: 42786";5000710800;828278000
228323696;"Name: Bahnhof Kastel - DB Mobility Hub 2; Station Number: 42787";5000602207;828357339
287734136;"Name: Kunsthalle / Zollhafen; Station Number: 42777";5001215200;826167300
318706527;"Name: HBF / DB Mobility Hub; Station Number: 42788";5000073200;825994900
444344630;"Name: Am Mombacher Kreisel; Station Number: 42811";5002597350;822092772
452538987;"Name: Kantstra·e; Station Number: 42814";4999546600;823867800
